Number,Concensus,Ole thinks keep on principal,Eric says data sucks,Species in Database,Scientific Name,Common Name,Kind of Organism,Fish or Invert
44,1,1,,Microstomuspacificus,Microstomus pacificus,Pacific Dover Sole,Fish,
45,1,1,,Myoxocephaluspolyacanthocephalus,Myoxocephalus polyacanthocephalus,Great Sculpin,Fish,
46,1,1,,Ophiodonelongatus,Ophiodon elongatus,Lingcod,Fish,
47,,,1,Ophiurasarsi,Ophiura sarsi,Brittle Star,Echinoderm,
48,,,,Oregoniagracilis,Oregonia gracilis,Graceful Decorator Crab,Crustacean,
49,,,1,Paguridae,Paguridae,Hermit Crabs,Crustacean,
50,,,1,Pagurusaleuticus,Pagurus aleuticus,Hermit Crabs,Crustacean,
51,,,1,Pagurusbrandti,Pagurus brandti,Hermit Crabs,Crustacean,
52,,,,Pandalopsisdispar,Pandalopsis dispar,Sidestriped Shrimp,Crustacean,
53,,,,Pandaluseous..borealis.,Pandaluseous..borealis.,Shrimp,Crustacean,
54,,,,Pandalusjordani,Pandalus jordani,Pink Shrimp,Crustacean,
55,,,,Parophrysvetulus,Parophrys vetulus,English Sole,Fish,
56,,,,Platichthysstellatus,Platichthys stellatus,Starry Flounder,Fish,
57,1,1,,Pleurogrammusmonopterygius,Pleurogrammus monopterygius,Atka Mackerel,Fish,
58,,,,Porifera,Porifera,Sponges,Sponge,
59,,,,Pycnopodiahelianthoides,Pycnopodia helianthoides,Sunflower Star,Echinoderm,
60,1,1,,Rajabinoculata                    ,Raja binoculata,Big Skate,Fish,
61,1,1,,Rajarhina,Raja rhina,Longnose Skate,Fish,
62,1,1,,Scyphozoa,Scyphozoa,Jellyfish ,Cnidaria,
63,1,1,,Sebastesalutus,Sebastes alutus,Pacific Ocean Perch,Fish,
64,1,1,,Sebastesbabcocki,Sebastes babcocki,Redbanded Rockfish,Fish,
65,1,1,,Sebastesborealis,Sebastes borealis,Shortraker Rockfish,Fish,
66,1,1,,Sebastesbrevispinis,Sebastes brevispinis,Silvergrey Rockfish,Fish,
67,1,1,,Sebastespolyspinis,Sebastes polyspinis,Northern Rockfish,Fish,
68,,1,1,Sebastesvariabilis,Sebastes variabilis,Dusky Rockfish,Fish,
69,1,1,,Sebastesvariegatus,Sebastes variegatus,Harlequin Rockfish,Fish,
70,1,1,,Sebasteszacentrus,Sebastes zacentrus,Sharpchin Rockfish,Fish,
71,1,1,,Sebastolobusalascanus,Sebastolobus alascanus,Shortspine Thornyhead,Fish,
72,1,1,,Squalusacanthias,Squalus acanthias,Dogfish,Fish,
73,,,1,Stegophiuraponderosa,Stegophiura ponderosa,Brittle Star,Echinoderm,
74,,,1,Strongylocentrotusdroebachiensis,Strongylocentrotus droebachiensis,Green Sea Urchin,Echinoderm,
75,1,1,,Thaleichthyspacificus,Thaleichthys pacificus,Eulachon,Fish,
76,,,1,Thaliacea                            ,Thaliacea,Tunicate,Tunicate,
77,1,1,,Theragrachalcogramma,Theragra chalcogramma,Walleye Pollock,Fish,
78,,,,Zaprorasilenus,Zaprora silenus,Prowfish,Fish,
