"Record","Station","Year","Lat","Lon","LonUTMAlbers","LatUTMAlbers","BottomDepth","BottomTemp","Actinaugeverrilli","Actiniaria","Albatrossiapectoralis","Allocentrotusfragilis","Anoplopomafimbria","Aphrocallistesvastus","Atheresthesstomias","Bathymastersignatus","Bathyplotessp.","Bathyrajaaleutica","Bathyrajainterrupta","Berryteuthismagister","Chionoecetesbairdi","Chlamysrubida","Chlamyssp.","Chrysaoramelanaster","Crossasterpapposus","Ctenodiscuscrispatus","Cyaneacapillata","Dasycottussetiger","Elassochirustenuimanus","Fusitritonoregonensis","Gadusmacrocephalus","Glyptocephaluszachirus","Gorgonocephaluseucnemis","Hemilepidotusjordani","Hemitripterusbolini","Henriciasp.","Hippoglossoideselassodon","Hippoglossusstenolepis","Hyaslyratus","Hydrolaguscolliei","Isopsettaisolepis","Lepidopsettabilineata","Lepidopsettapolyxystra","Lepidopsettasp.","Lethasteriasnanimensis","Lycodesbrevipes","Lycodespalearis","Lyopsettaexilis","Malacocottuszonurus","Mallotusvillosus","Metridiumfarcimen..Metridiumgiganteum.","Microstomuspacificus","Myoxocephaluspolyacanthocephalus","Ophiodonelongatus","Ophiurasarsi","Oregoniagracilis","Paguridae","Pagurusaleuticus","Pagurusbrandti","Pandalopsisdispar","Pandaluseous..borealis.","Pandalusjordani","Parophrysvetulus","Platichthysstellatus","Pleurogrammusmonopterygius","Porifera","Pycnopodiahelianthoides","Rajabinoculata","Rajarhina","Scyphozoa","Sebastesalutus","Sebastesbabcocki","Sebastesborealis","Sebastesbrevispinis","Sebastespolyspinis","Sebastesvariabilis","Sebastesvariegatus","Sebasteszacentrus","Sebastolobusalascanus","Squalusacanthias","Stegophiuraponderosa","Strongylocentrotusdroebachiensis","Thaleichthyspacificus","Thaliacea","Theragrachalcogramma","Zaprorasilenus"
11,"139-76",1987,55.49717,-158.529,-535350.548029296,5656757.21526278,146,5.5,NA,NA,NA,NA,NA,NA,15.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1432,NA,NA,0.0429,NA,13.1661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2145,NA,NA,NA,NA,NA,NA,NA,NA,0.1432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2916,NA,0.2862,NA
12,"150-81",1987,55.69533,-157.63583,-477083.93340863,5672213.84043523,134,5.7,NA,NA,NA,NA,0.2293,NA,112.3634,NA,NA,NA,NA,NA,0.2293,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0974,7.6491,NA,NA,NA,NA,30.7488,7.4808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3825,NA,NA,NA,NA,NA,NA
13,"166-83",1987,55.75467,-156.26767,-391260.902703505,5670210.34594191,247,5.6,NA,NA,NA,NA,22.9231,NA,39.3516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9382,9.1018,NA,NA,NA,NA,17.4276,5.4947,NA,NA,NA,NA,NA,NA,NA,NA,0.0673,NA,NA,NA,NA,9.2705,NA,NA,NA,NA,0.0338,NA,NA,NA,0.5057,NA,NA,NA,NA,NA,NA,NA,NA,0.1687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3596,NA,11.293,NA
14,"169-81",1987,55.70867,-156.01333,-375872.277876097,5663673.2410956,214,5.5,NA,0.3664,NA,NA,4.5809,NA,128.996,NA,NA,NA,2.3821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0855,41.0443,NA,0.1834,NA,NA,1.649,NA,NA,NA,NA,NA,NA,NA,NA,0.0182,NA,NA,NA,NA,NA,33.2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3664,NA,NA,7.2377,NA,NA,NA,0.1834,NA,NA,NA,NA,NA,NA,NA,1.466,NA,2.0158,NA
15,"175-81",1987,55.705,-155.50883,-344440.519937914,5660631.90393152,77,6,NA,NA,NA,NA,NA,NA,5.8313,NA,NA,NA,0.4703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6284,NA,NA,NA,NA,NA,NA,16.1026,NA,NA,NA,NA,NA,26.4299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0488,NA,NA,NA,NA,NA,0.1883,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5644,NA
16,"212-117",1987,57.275,-152.49333,-149685.294581935,5825201.33113564,86,7.2,NA,NA,NA,NA,NA,NA,30.3669,0.2799,NA,NA,NA,NA,9.1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5083,1.3795,NA,43.621,NA,NA,50.7979,7.9367,NA,NA,3.3187,NA,NA,70.1094,NA,NA,NA,NA,NA,NA,NA,0.8198,4.9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2765,NA,NA,5.5175,NA,NA,NA,NA,NA,NA,NA,0.2799,NA,NA,NA,NA,NA,NA,NA,NA,NA,1078.2684,NA
17,"205-117",1987,57.30833,-153.10167,-186016.882827132,5830406.4762094,86,4.5,NA,NA,NA,NA,NA,NA,8.6668,NA,NA,NA,NA,NA,3.9617,NA,NA,NA,NA,NA,NA,0.0742,NA,NA,25.7527,NA,0.0497,0.3712,0.2478,NA,41.1047,0.8915,NA,NA,0.8669,NA,NA,NA,NA,NA,0.3712,NA,NA,NA,NA,NA,8.1717,NA,NA,NA,NA,NA,NA,NA,27.7332,NA,NA,1.2381,NA,NA,3.4665,NA,NA,0.6191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9433,NA
18,"206-110",1987,56.985,-153.035,-183611.052743082,5794091.04582492,73,7.5,NA,NA,NA,NA,NA,NA,3.543,0.0365,NA,NA,NA,NA,NA,0.0725,NA,NA,0.018,NA,NA,0.0545,NA,0.0365,6.7228,0.1819,NA,0.8176,NA,NA,2.9069,5.8688,NA,NA,NA,NA,NA,87.5775,NA,NA,NA,NA,NA,NA,NA,NA,0.2724,NA,NA,NA,0.3633,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3633,NA,NA,NA,NA,NA,NA,NA,0.7266,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0545,NA
19,"205-105",1987,56.77467,-153.06617,-186540.414945957,5770667.63645931,75,7,NA,NA,NA,NA,NA,NA,0.0981,0.2617,NA,NA,NA,NA,NA,1.8969,NA,NA,NA,NA,NA,NA,NA,0.1637,0.3273,NA,3.2704,NA,NA,NA,NA,1.0461,NA,NA,NA,NA,NA,8.1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3273,NA,NA,NA,NA,NA,NA,NA,NA,2.6164,0.3273,NA,NA,NA,NA,NA,NA,NA,6.5407,NA,0.3273,NA,NA,NA,NA,0.0656,NA,NA,NA,2.943
20,"200-110",1987,56.99017,-153.44633,-208447.332257718,5795836.95965273,126,5.7,NA,NA,NA,NA,NA,NA,133.5801,NA,NA,NA,NA,NA,0.0466,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.1495,0.9329,NA,NA,0.4664,NA,180.5887,12.8559,NA,NA,2.3318,NA,NA,17.2241,NA,0.9329,2.3318,NA,NA,NA,NA,NA,15.3587,NA,NA,NA,NA,NA,NA,NA,12.094,NA,NA,NA,NA,NA,NA,51.1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0466,NA,94.9501,NA
21,"202-104",1987,56.725,-153.26167,-198688.17045642,5765662.47592241,130,5.1,NA,NA,NA,NA,NA,NA,15.4465,0.2596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7686,1.1681,NA,0.3895,0.1299,NA,15.5764,4.3615,NA,NA,NA,NA,NA,1.5576,NA,0.0129,0.065,NA,NA,NA,NA,0.5191,NA,NA,NA,NA,NA,NA,NA,NA,0.2596,NA,NA,NA,NA,0.0129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,NA,NA,109.0351,NA
22,"219-111",1987,57.035,-151.90833,-115317.780187184,5797241.64645497,82,7.4,NA,NA,NA,NA,NA,NA,0.1455,0.0436,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0144,NA,NA,NA,0.0292,49.8571,NA,NA,0.1455,NA,NA,NA,30.7137,NA,NA,0.058,NA,NA,10.9016,NA,NA,NA,NA,NA,0.0144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,NA
23,"214-112",1987,57.06667,-152.275,-137351.017430479,5801454.19725086,79,7.2,NA,NA,NA,NA,NA,NA,0.3298,NA,NA,NA,NA,NA,NA,0.0131,NA,NA,NA,NA,NA,NA,NA,0.0131,0.1978,NA,NA,0.132,NA,NA,NA,11.4636,NA,NA,NA,NA,NA,15.0388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"253-169",1987,59.74983,-149.11783,49433.0623435606,6099610.01325686,172,6.3,NA,NA,NA,NA,1.5023,NA,68.5255,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6676,1.5858,NA,0.3338,NA,NA,50.2463,7.0947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7543,NA,NA,NA,NA,NA,NA,NA,0.5009,2.0867,NA,NA,NA,NA,NA,NA,12.1024,2.3369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8364,NA,11.685,NA
25,"250-159",1987,59.24167,-149.36567,36067.6880309307,6042650.42286361,159,6.3,NA,NA,NA,NA,NA,NA,43.4608,0.6045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133,NA,NA,2.8211,2.1494,0.0403,NA,0.4703,NA,13.3003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7542,NA,NA,NA,NA,NA,NA,NA,0.1075,0.2686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,NA,NA,NA,NA,0.2014,NA,5.7098,NA
26,"245-154",1987,58.9875,-149.71417,16370.027048594,6014096.62566876,298,5.5,NA,NA,NA,NA,36.5707,NA,58.5132,NA,NA,NA,NA,NA,0.0448,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0605,1.0448,NA,0.1494,1.1942,NA,8.0605,17.4048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1942,NA,NA,NA,NA,NA,NA,NA,0.597,0.8958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6869,NA,NA,NA,1.9406,NA,7.4636,0.0148
27,"252-147",1987,58.67283,-149.2005,46195.6057133935,5979137.73444593,132,6.2,NA,NA,NA,NA,5.8175,NA,52.7201,0.4364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0292,38.3947,31.0504,NA,NA,NA,NA,11.053,3.7812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5272,NA,5.89,0.8,NA,0.4364,NA,NA,0.2908,NA,2.6179,1.018
28,"256-159",1987,59.242,-148.86483,64542.5933388685,6043052.32818813,161,6,NA,NA,NA,NA,11.2755,NA,55.582,NA,NA,NA,NA,0.0266,NA,NA,NA,NA,NA,NA,NA,0.0398,NA,NA,1.5918,2.9184,NA,NA,NA,NA,15.0563,0.2919,NA,NA,NA,NA,NA,NA,NA,NA,0.1328,NA,NA,NA,NA,8.0255,NA,NA,NA,NA,NA,NA,NA,NA,0.2653,NA,NA,NA,NA,NA,NA,NA,0.1328,NA,4.5102,NA,NA,0.1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6634,NA
29,"264-155",1987,59.05683,-148.19517,103151.860917146,6023164.45840022,134,6,NA,0.0549,NA,NA,NA,NA,21.7641,0.3839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6452,14.0892,0.0109,NA,NA,NA,NA,1.3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8772,NA,NA,NA,1.4801,NA,NA,0.0109,NA,NA,NA,NA,NA,NA,0.0109,NA
30,"258-166",1987,59.56367,-148.63283,77019.6153996827,6079247.72914729,90,6.9,NA,NA,NA,NA,NA,NA,0.8182,0.0274,NA,NA,NA,NA,NA,0.0135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8208,NA,NA,NA,NA,NA,1.4316,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1358,NA,NA,0.1365,3.9537,NA,42.9186,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"264-167",1987,59.65983,-148.165,103083.70428432,6090604.49442639,82,7.9,NA,NA,NA,NA,NA,NA,NA,0.1651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3763,0.0137,NA,NA,1.7892,NA,NA,19.529,NA,NA,NA,NA,NA,3.9222,NA,NA,NA,NA,NA,NA,NA,0.0137,NA,0.8259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"272-164",1987,59.48117,-147.53533,139156.176451269,6071746.72459961,117,6.9,NA,NA,NA,NA,0.4175,NA,14.8195,NA,NA,NA,0.3479,NA,NA,NA,NA,NA,NA,NA,NA,0.0138,NA,NA,NA,0.974,NA,NA,NA,NA,1.0436,0.9602,NA,NA,NA,NA,NA,0.1393,NA,NA,NA,NA,NA,NA,NA,0.5565,NA,NA,NA,NA,NA,NA,NA,NA,0.0138,NA,NA,NA,NA,NA,NA,NA,2.0873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1114,NA,4.3832,NA
33,"278-164",1987,59.47917,-147.03067,167642.998211504,6072644.84688614,219,5.2,NA,NA,NA,NA,8.0633,NA,14.9319,NA,NA,NA,NA,0.0148,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.6719,2.9864,NA,NA,NA,NA,0.0747,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0448,NA,NA,NA,NA,5.0768,NA,NA,NA,NA,NA,NA,NA,0.5972,0.1495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0904,NA,NA,NA,0.0448,NA,2.2398,NA
34,"283-160",1987,59.3145,-146.64767,190144.239059042,6055246.1635656,179,6.2,NA,NA,NA,NA,7.1263,NA,47.7187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0139,NA,NA,1.3274,0.4193,NA,NA,NA,NA,0.6987,13.1069,NA,NA,NA,NA,NA,NA,NA,NA,0.2095,NA,NA,NA,NA,18.724,NA,NA,NA,NA,NA,NA,NA,0.0558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8862,NA,NA,NA,NA,NA,NA,NA,3.0042,NA,NA,NA,0.0699,NA,1.3973,0.0139
35,"296-166",1987,59.56017,-145.5445,250868.271775736,6086193.10582859,135,6.3,NA,NA,NA,NA,5.0269,NA,33.8036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4372,1.0199,NA,NA,NA,NA,50.7784,2.1712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,NA,NA,0.0437,NA,0.5827,NA
36,"299-168",1987,59.68083,-145.24433,266814.983924132,6100776.64471868,110,6.8,NA,NA,NA,NA,2.9409,NA,5.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7003,0.4903,NA,NA,NA,NA,3.6412,1.7927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5714,NA,0.8404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0701,NA,1.5407,NA
37,"292-170",1987,59.77317,-145.885,230301.415294614,6108769.69838104,99,6.5,NA,NA,NA,NA,0.2667,NA,14.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0132,NA,NA,NA,0.1335,0.0667,NA,NA,NA,12.6686,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,2.8003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2667,NA,NA,2.6671,NA,9.2015,NA
38,"276-168",1987,59.70917,-147.173,158559.191555502,6097996.78832071,218,5.2,NA,NA,NA,NA,18.7057,NA,49.8312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6065,11.8063,NA,NA,NA,NA,2.6833,6.1484,NA,NA,NA,NA,NA,NA,NA,NA,0.1535,NA,NA,NA,NA,6.2096,NA,NA,NA,NA,NA,NA,NA,0.3066,0.3066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2267,NA,NA,NA,1.2267,NA,14.3361,NA
39,"277-173",1987,59.9025,-147.14633,159161.125205829,6119647.88162761,219,5.4,NA,NA,NA,NA,9.5192,NA,9.5192,NA,NA,NA,0.4444,0.0126,0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0306,10.2173,NA,NA,2.9194,NA,0.2538,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2538,NA,NA,NA,NA,12.1847,NA,NA,NA,NA,NA,NA,NA,0.6346,0.0255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3808,NA,NA,2.7923,NA,27.7329,NA
40,"287-178",1987,60.19367,-146.3245,203227.857866318,6154305.6753567,110,7,NA,NA,NA,NA,2.197,NA,23.1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,NA,1.5152,NA,NA,NA,NA,9.8487,4.7881,NA,NA,NA,NA,NA,NA,NA,NA,0.1517,NA,NA,NA,NA,5.7578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8184,NA,NA,NA,NA,23.1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5758,NA,5.9091,NA
