genus.species,common.name,region,nlifeHistoryFemale,nlifeHistoryMale,nlifeHistoryCombined,VBKmedianFemale,VBKmedianMale,VBKmedianCombined,VBKmeanFemale,VBKmeanMale,VBKmeanCombined,Linf.medianFemale,Linf.medianMale,Linf.medianCombined,Linf.meanFemale,Linf.meanMale,Linf.meanCombined,LinfType,lengthConversionFLtoTL,lengthConversionSLtoTL,lengthConversionRef,Lmat,LmatType,Lmax,LmaxType,Lcom,LcomType,AgeMax,comments
Hippoglossus stenolepis,Pacific halibut,general,,,5,,,0.05,,,0.06,,,196.2,,,188.7,TL,,,,,,267,TL,,,55,gender not indicated in FishBase Growth table
Hyas lyratus,Pacific lyre crab,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrolagus colliei,spotted ratfish,general,1,1,2,,,,0.2,0.22,0.21,,,,79,96,87.5,TL,,,,,,100,TL,,,,
Isopsetta isolepis,butter sole,general,1,1,2,,,,0.26,0.36,0.31,,,,42,38,40,TL,,,,21,,55,TL,,,11,
Lepidopsetta spp.,rock soles,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidopsetta spp.,rock soles,GoA,1,1,,,,,0.2,0.241,,,,,47.72,39.81,,FL,,,,,,,,,,,GoA Stock Assessment estimates are means of estimates for northern and southern rock sole (Table 4.1.5). Linf is length at max age. 
Limanda aspera,yellowfin sole,general,2,2,7,0.15,0.19,0.14,0.145,0.14,0.146,52.2,74.4,43.6,45.2,53.6,46.9,TL,,,,28.7,,49,TL,33.5,TL,34,
Lycodes brevipes,shortfin eelpout,general,,,,,,,,,,,,,,,,,,,,,,30,TL,,,,
Lycodes palearis,wattled eelpout,general,,,,,,,,,,,,,,,,,,,,,,51,TL,,,,
Lyopsetta exilis,slender sole,general,,,,,,,,,,,,,,,,,,,,,,35,TL,,,,
Malacocottus zonurus,darkfin sculpin,general,,,1,,,0.12,,,0.12,,,47.3,,,47.3,SL,,1.212,used reltionship for Dasycottus setiger (FishBase),,,35,SL,,,12,gender not indicated in FishBase Growth table
Mallotus villosus,capelin,general,2,2,5,0.48,0.48,0.48,0.465,0.37,0.46,19.8,27.8,19.8,19.4,23.9,20.7,TL,,,,13.5,,25.2,TL,15,TL,10,
Merluccius productus,Pacific hake,general,2,1,3,0.3,0.19,0.19,0.215,0.19,0.207,85.9,70.4,70.4,73.55,70.4,72.5,TL,,,,34-40,,91,TL,60,TL,16,
Microstomus pacificus,Dover sole,general,1,1,2,0.09,0.09,0.09,0.09,0.09,0.09,47.4,43.7,47.4,47.4,43.7,45.6,TL,,,,38,,76,TL,40,TL,56,
Microstomus pacificus,Dover sole,GoA,1,1,,,,,0.113,0.158,,,,,52.1,43.97,,FL,,,,,,,,,,,
Myctophidae spp.,lanternfishes,general,,,,,,,,,,,,,,,,,,,,,,,,,,,data are for 10 species in Alaska (according to Fishbase)
Myoxocephalus polyacanthocephalus,great sculpin,general,1,2,3,0.08,0.21,0.12,0.08,0.165,0.137,109.2,72.5,72.5,109.2,66.6,80.8,TL,,,,54-58,,80,TL,,,,
Myoxocephalus polyacanthocephalus,great sculpin,GoA,,,,,,,,,,,,,,,,,,,,,,72,FL,,,,
Oncorhynchus tshawytscha - should be O. keta,Chum salmon,general,2,2,4,0.39,0.45,0.39,0.345,0.36,0.35,105,120,106,103.5,113,108.25,TL,1.017,,Fishbase,70,,100,FL,58,TL,7,
Oncorhynchus tshawytscha,Chinook salmon,general,,,,,,,,,,,,,,,,,,,,82.2,,150,TL,70,TL,9,
Ophiodon elongatus,lingcod,general,2,2,4,0.18,0.27,0.25,0.18,0.26,0.22,113,86.1,104,108.5,81.55,95,FL,1,,Fishbase,,,152,TL,,,25,
Parophrys vetulus,English sole,general,1,1,2,0.24,0.35,0.35,0.24,0.35,0.3,41.6,30.7,41.6,41.6,30.7,36.2,TL,,,,30-32,,57,TL,33,TL,22,
Platichthys stellatus,starry flounder,general,1,1,3,0.19,0.23,0.23,0.19,0.23,0.24,51,44.8,44.8,51,44.8,46.7,TL,,,,35+,,91,TL,57.5,TL,24,
Pleurogrammus monopterygius,Atka mackerel,general,,,5,,,0.4,,,0.42,,,47.2,,,46.8,FL,1.064,,Fishbase,32.5+,,56.5,TL,,,15,gender not indicated in FishBase Growth table
Pleurogrammus monopterygius,Atka mackerel,GoA,,,1,,,,,,0.22,,,,,,54.56,FL,,,,,,,,,,,
Pleuronectes quadrituberculatus,Alaska plaice,general,3,3,7,0.14,0.15,0.14,0.14,0.137,0.13,50.1,46,49.9,49.9,45.03,48.8,TL,,,,28-29,,87,TL,36,TL,37,"given morphometry, assumed that all data provided in FishBase Growth table are the same length type"
Podothecus accipenserinus,Sturgeon Poacher,general,,,,,,,,,,,,,,,,,,,,,,30.5,TL,,,,
Raja binoculata,big skate,general,,,,,,,,,,,,,,,,,,,,130+,,244,TL,180,TL,,
Raja binoculata,big skate,GoA,,,,,,,,,,,,,,,,,,,,,,244,TL,,,15,
Raja rhina,longnose skate,general,2,2,4,0.16,0.25,0.16,0.11,0.16,0.135,137,132,132,122,114.35,118,TL,,,,90,,180,TL,,,13,
Raja rhina,longnose skate,GoA,,,,,,,,,,,,,,,,,,,,,,180,TL,,,25,
Sebastes group 2,,general,,,,,,,,,,,,,,,,,1.014,1.161,,47,,97,TL,,,205,data are for Sebastes aleutianus
Sebastes alutus,Pacific ocean perch,general,8,8,23,0.14,0.14,0.13,0.126,0.138,0.13,45.1,43.2,43.3,44.6625,41.825,43.8,TL,1.035,,Fishbase,33.1,,53,TL,,,103,
Sebastes alutus,Pacific ocean perch,GoA,,,1,,,,,,0.18,,,,,,41.2,FL,,,,,,,,,,,
Sebastes babcocki,redbanded rockfish,general,,,,,,,,,,,,,,,,,1.011,,Fishbase,38.5,,64,TL,,,106,
Sebastes borealis,shortraker rockfish,general,1,0,1,0.03,,0.03,0.03,,0.03,84.6,,84.6,84.6,,84.6,FL,1.017,,Fishbase,47,,108,TL,,,157,
Sebastes borealis,shortraker rockfish,GoA,1,,,,,,0.03,,,,,,84.6,,,,,,,,,,,,,157,
Sebastes brevispinis,silvergray rockfish,general,1,3,4,0.09,0.1,0.1,0.09,0.1,0.098,62.3,57,57.1,62.3,56.33,57.8,FL,1.027,,Fishbase,46,,71,TL,,,82,
Sebastes brevispinis,silvergray rockfish,GoA,1,1,,,,,0.093,0.11,0.1,,,,62.25,57.14,59.8,FL,,,,34-45,FL,,,,,75,
Sebastes helvomaculatus,rosethorn rockfish,general,,,,,,,,,,,,,,,,,,,,23,,41,TL,,,87,
Sebastes helvomaculatus,rosethorn rockfish,GoA,1,1,,,,,0.1,0.11,,,,,28.66,27.93,,FL,,,,,,,,,,,
Sebastes polyspinis,northern rockfish,general,2,2,8,0.18,0.21,0.19,0.165,0.2,0.19,40.2,37.8,35.5,37.35,35.2,35.5,FL,1.021,,"mean of other Sebastes species in this spreadsheet, from Fishbase",,,41,TL,,,57,
Sebastes polyspinis,northern rockfish,GoA,,,,,,,,,0.16,,,,,,41.72,FL,,,,36,FL,,,,,57,
Sebastes proriger,redstripe rockfish,general,1,1,2,0.15,0.18,0.18,0.15,0.18,0.165,41.3,34,41.3,41.3,34,37.8,FL,1.025,,Fishbase,,,61,TL,,,55,
Sebastes proriger,redstripe rockfish,GoA,,,,,,,,,,,,,,,,,,,,29,FL,,,,,55,
Sebastes variegatus,harlequin rockfish,general,,,,,,,,,,,,,,,,,,,,23,,38,TL,,,47,
Sebastes variegatus,harlequin rockfish,GoA,1,1,,,,,0.137,0.164,0.141,,,,31.53,29.02,30.66,FL,,,,23,FL,,,,,47,
Sebastes zacentrus,sharpchin rockfish,general,1,1,3,0.12,0.17,0.12,0.12,0.17,0.13,35,28.4,34.9,35,28.4,32.8,FL,1.015,,Fishbase,25,,39,TL,,,58,
Sebastes zacentrus,sharpchin rockfish,GoA,,,,,,,0.122,0.167,0.131,,,,35.02,28.44,32.64,FL,,,,26.5,FL,,,,,58,
Sebastolobus alascanus,shortspine thornyhead,general,,,1,,,0.02,,,,,,72.8,,,,?,,1.222,Fishbase,22,26.884,80,SL,,,100,gender not indicated in FishBase Growth table
Sebastolobus alascanus,shortspine thornyhead,GoA,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,
Squalus acanthias,piked dogfish,general,10,10,26,0.09,0.15,0.09,0.086,0.139,0.1,137,91.8,116.3,136.3,106.84,125.1,TL,,,,81.4,,160,TL,100,TL,75,
Squalus acanthias,piked dogfish,GoA,1,1,,,,,0.03,0.06,,,,,132,93.7,,TL,,,,,,125,TL,,,80-100,
Thaleichthys pacificus,eulachon,general,,,1,,,0.34,,,,,,19.3,,,,FL,,,,15-16,,34,TL,20,TL,5,gender not indicated in FishBase Growth table
Theragra chalcogramma,walleye pollock,general,,,14,,,0.32,,,0.304,,,61.8,,,61.3,FL,1.106,,Fishbase,36.9,,91,TL,,,28,gender not indicated in FishBase Growth table
Theragra chalcogramma,walleye pollock,GoA,,,1,,,,,,0.3,,,,,,65.2,FL,,,,,,,,,,,
Zaprora silenus,prowfish,general,,,2,,,,,,0.135,,,,,,105.1,TL,,,,57,,88,TL,42.9,TL,9,gender not indicated in FishBase Growth table
